Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
*globals*,Math.trunc,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,MessageChannel,supported,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,MessageEvent,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,MessagePort,supported,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported
*globals*,NaN,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Navigator,supported,supported,unsupported,unsupported,unsupported,supported,supported,supported,supported
*globals*,Number,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Object,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Performance,supported,supported,supported,supported,supported,supported,unsupported,unsupported,supported
*globals*,PerformanceEntry,supported,supported,supported,unsupported,supported,supported,unsupported,unsupported,supported
*globals*,PerformanceMark,supported,supported,supported,unsupported,supported,supported,unsupported,unsupported,supported
*globals*,PerformanceMeasure,supported,supported,supported,unsupported,supported,supported,unsupported,unsupported,supported
*globals*,PerformanceObserver,supported,supported,supported,unsupported,supported,unsupported,unsupported,unsupported,supported
*globals*,PerformanceObserverEntryList,supported,supported,supported,unsupported,supported,unsupported,unsupported,unsupported,supported
*globals*,PerformanceResourceTiming,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported,supported
*globals*,Promise,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Proxy,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,RangeError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableByteStreamController,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableStream,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBReader,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBRequest,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultController,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultReader,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ReferenceError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.*self*,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.apply,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.construct,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.defineProperty,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.deleteProperty,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.get,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.getOwnPropertyDescriptor,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.getPrototypeOf,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.has,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.isExtensible,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.ownKeys,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.preventExtensions,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Reflect.set,supported,supported,supported,supported,supported,supported,supported,supported,supported
